"Title","Price","Area","Link"
"2 BHK Apartment for Sale in Satin Bricks Kharadi Pune","80 Lac","1260 sqft","https://www.magicbricks.com/satin-bricks-kharadi-pune-pdpid-4d4235303030373236"
"2 BHK Apartment for Sale in Vascon Forest Edge Kharadi Pune","73 Lac","1050 sqft","https://www.magicbricks.com/vascon-forest-edge-kharadi-pune-pdpid-4d4235313131393039"
"2 BHK Apartment for Sale in Gulmohar Queenstown Kharadi Pune","97.5 Lac","748 sqft","https://www.magicbricks.com/gulmohar-queenstown-kharadi-pune-pdpid-4d4235303231393830"
"2 BHK Apartment for Sale in Kharadi Pune","1 Cr","835 sqft",""
"2 BHK Apartment for Sale in Kharadi Pune","75 Lac","684 sqft",""
"2 BHK Apartment for Sale in Tukaram Nagar Kharadi Pune","85 Lac","599 sqft",""
"2 BHK Apartment for Sale in Eklavya Ekaika Kharadi Pune","90 Lac","796 sqft","https://www.magicbricks.com/eklavya-ekaika-kharadi-pune-pdpid-4d4235303033383934"
"2 BHK Apartment for Sale in Eklavya Ekaika Kharadi Pune","90 Lac","796 sqft","https://www.magicbricks.com/eklavya-ekaika-kharadi-pune-pdpid-4d4235303033383934"
"2 BHK Apartment for Sale in Eklavya Ekaika Kharadi Pune","90 Lac","796 sqft","https://www.magicbricks.com/eklavya-ekaika-kharadi-pune-pdpid-4d4235303033383934"
"2 BHK Apartment for Sale in Urban Nirvana Kharadi Pune","90 Lac","691 sqft","https://www.magicbricks.com/urban-nirvana-kharadi-pune-pdpid-4d4235303030303638"
"3 BHK Apartment for Sale in Erande Nayan Kharadi Pune","1.10 Cr","936 sqft","https://www.magicbricks.com/erande-nayan-kharadi-pune-pdpid-4d4235303035343639"
"2 BHK Apartment for Sale in Urban Nirvana Kharadi Pune","1 Cr","774 sqft","https://www.magicbricks.com/urban-nirvana-kharadi-pune-pdpid-4d4235303030303638"
